,developer,count,year
380,RemedyEntertainment,0,1995
381,SegaAM2,0,1995
382,Runecraft,0,1995
383,Take-TwoInteractive,0,1995
384,ShrapnelGames,0,1995
385,Anim-X,0,1995
386,Ecole,0,1995
387,Bandai,0,1995
388,SNK,0,1995
389,Atari,0,1995
390,FeverPitchStudios,0,1995
391,Nexon,0,1995
392,BarnhouseEffect,0,1995
393,TroikaGames,0,1995
394,ParticleSystems,0,1995
395,KonamiComputerEntertainmentNagoya,0,1995
396,GameVision,0,1995
397,BohemiaInteractive,0,1995
398,MythicEntertainment,0,1995
399,Virtucraft,0,1995
400,3d6Games,0,1995
401,SuperXStudios,0,1995
402,MobiusEntertainment,0,1995
403,FrogCitySoftware,0,1995
404,GrayMatter,0,1995
405,InlandProductions,0,1995
406,OutLookEntertainment,0,1995
407,FlyingLabSoftware,0,1995
408,VisiwareStudios,0,1995
409,PyroStudios,0,1995
410,NetDevil,0,1995
411,StudioLiverpool,0,1995
412,RivalInteractive,0,1995
413,"Activision,Traveller'sTales",0,1995
414,ClickEntertainment,0,1995
415,SCEJapanStudio,0,1995
416,DeepRed,0,1995
417,THQ,0,1995
418,Sun-Tec,0,1995
419,LuckyChicken,0,1995
420,ArcSystemWorks,0,1995
421,GigawattStudios,0,1995
422,Cave,0,1995
423,ZenerWorks,0,1995
424,"AscaronEntertainmentGmbH,AscaronEntertainment",0,1995
425,Introversion,0,1995
426,DigitalFiction,0,1995
427,SCESantaMonica,0,1995
428,RFXInteractive,0,1995
429,TitusSoftware,0,1995
430,RealityPump,0,1995
431,BlueFangGames,0,1995
432,FireFlyStudios,0,1995
433,GRIN,0,1995
434,Exakt,0,1995
435,Charybdis,0,1995
436,DavidA.PalmerProductions,0,1995
437,EAGames,0,1995
438,ArtificialMindandMovement,0,1995
439,MumboJumbo,0,1995
440,MASAGroup,0,1995
441,Nfusion,0,1995
442,CyberloreStudios,0,1995
443,HeartBeat,0,1995
444,SonyBend,0,1995
445,UltimationInc.,0,1995
446,New,0,1995
447,BamEntertainment,0,1995
448,LiquidEntertainment,0,1995
