,name,platform,r_date,score,user score,developer,genre,players,critics,users,SMA_year
7843,Pro Evolution Soccer 2011,PSP,2010-11-02,74,6.4,Konami,"Sports,Traditional,Team,Soccer,Sim,Sim",Up to 4 ,10,7,7.216666666666667
7857,Fighters Uncaged,Xbox360,2010-11-04,32,4.6,Ubisoft,"Action,Fighting,Fighting,3D,3D",No Online Multiplayer,38,26,6.55
7861,Your Shape: Fitness Evolved,Xbox360,2010-11-04,73,8.1,UbisoftMontreal,"Sports,Miscellaneous,General,Exercise / Fitness",No Online Multiplayer,32,23,7.156521739130436
7874,Tom Clancy's HAWX 2,Wii,2010-11-09,47,8.5,Ubisoft,"Action,Simulation,Flight,Flight,Combat",No info,11,4,6.7272727272727275
7887,NBA Jam,Xbox360,2010-11-15,75,7.5,EACanada,"Sports,Traditional,Team,Basketball,Arcade,Arcade",Up to 4 ,30,25,7.6
7890,NBA Jam,PlayStation3,2010-11-15,71,5.9,EACanada,"Sports,Traditional,Team,Basketball,Arcade,Arcade",Up to 4 ,33,15,7.4937499999999995
7891,EA Sports Active 2,PlayStation3,2010-11-16,78,4.7,EACanada,"Sports,Miscellaneous,General,Exercise / Fitness",1-2 ,20,16,7.329411764705882
7893,Assassin's Creed: Brotherhood,Xbox360,2010-11-16,89,8.4,UbisoftMontreal,"Action Adventure,Historic,Historic,Open-World",Up to 8 ,81,862,7.1952380952380945
7901,EA Sports Active 2,Wii,2010-11-16,79,8.1,EACanada,"Sports,Miscellaneous,General,Exercise / Fitness",No info,8,22,7.372222222222222
7907,EA Sports Active 2,Xbox360,2010-11-16,68,6.3,EACanada,"Sports,Miscellaneous,General,Exercise / Fitness",No info,21,11,7.315789473684211
7912,Assassin's Creed: Brotherhood,PlayStation3,2010-11-16,90,8.3,UbisoftMontreal,"Action Adventure,Historic,Historic,Open-World",Up to 8 ,59,1163,7.245454545454546
7923,Raving Rabbids: Travel in Time,Wii,2010-11-21,62,7.1,Ubisoft,"Action,Adventure,General,Platformer,2D",No info,24,19,6.581818181818181
7925,Poker Night at the Inventory,PC,2010-11-22,71,7.0,TelltaleGames,"Miscellaneous,Parlor,Gambling,Gambling",No info,11,115,7.428571428571429
7928,Tom Clancy's HAWX 2,PC,2010-11-22,66,3.8,Ubisoft,"Action,Simulation,Flight,Flight,Combat",No info,12,56,6.349999999999999
7940,Pro Evolution Soccer 2011,Wii,2010-11-23,78,5.9,Konami,"Sports,Traditional,Team,Soccer,Sim,Sim",No info,9,9,7.1187499999999995
7969,Super Mario All-Stars: 25th Anniversary Edition,Wii,2010-12-12,70,7.7,Nintendo,"Miscellaneous,Compilation,Compilation",No Online Multiplayer,29,88,7.907692307692307
7975,X-Men: The Arcade Game,PlayStation3,2010-12-14,64,8.1,Konami,"Action,Beat-'Em-Up,Beat-'Em-Up,2D",1-6 ,12,14,7.176470588235294
7978,X-Men: The Arcade Game,Xbox360,2010-12-15,70,6.9,Konami,"Action,Beat-'Em-Up,Beat-'Em-Up,2D",1-6 ,24,19,7.161111111111111
7987,Back to the Future: The Game - Episode I: It's About Time,PC,2010-12-22,74,7.1,TelltaleGames,"Action Adventure,Adventure,Sci-Fi,Sci-Fi,3D,Third-Person",1 Player,39,110,7.4148148148148145
8003,Ghost Trick: Phantom Detective,DS,2011-01-11,83,9.7,Capcom,"Adventure,General,General",No Online Multiplayer,60,1362,7.903703703703704
8038,Mario Sports Mix,Wii,2011-02-07,64,7.9,SquareEnix,"Sports,General,General",No Online Multiplayer,54,56,7.236363636363635
8053,Tactics Ogre: Let Us Cling Together,PSP,2011-02-14,87,8.7,SquareEnix,"Strategy,Turn-Based,Fantasy,Fantasy,Tactics",No Online Multiplayer,49,143,7.358333333333333
8055,Back to the Future: The Game - Episode I: It's About Time,PlayStation3,2011-02-15,75,6.1,TelltaleGames,"Action Adventure,Adventure,Sci-Fi,Sci-Fi,3D,Third-Person",1 Player,13,37,7.367857142857142
8058,Marvel vs. Capcom 3: Fate of Two Worlds,Xbox360,2011-02-15,85,7.1,Capcom,"Action,Fighting,Fighting,2D,2D",Up to 8 ,77,175,7.875
8059,Marvel vs. Capcom 3: Fate of Two Worlds,PlayStation3,2011-02-15,84,7.3,Capcom,"Action,Fighting,Fighting,2D,2D",Up to 8 ,56,161,7.8551724137931025
8061,Back to the Future: The Game - Episode II: Get Tannen!,PC,2011-02-17,74,7.2,TelltaleGames,"Action Adventure,Adventure,Sci-Fi,Sci-Fi,3D,Third-Person",No info,21,41,7.362068965517241
8088,Fight Night Champion,Xbox360,2011-03-01,86,7.4,EACanada,"Sports,Traditional,Individual,Boxing,Boxing,Combat,Boxing / Martial Arts",2  Online,59,125,7.447058823529411
8095,Fight Night Champion,PlayStation3,2011-03-01,84,7.2,EACanada,"Sports,Traditional,Individual,Boxing,Boxing,Combat,Boxing / Martial Arts",2  Online,52,113,7.433333333333334
8099,Beyond Good & Evil HD,Xbox360,2011-03-02,84,8.6,Ubisoft,"Action Adventure,Fantasy,General,Fantasy",No Online Multiplayer,57,113,6.672727272727273
8111,Assassin's Creed: Brotherhood - The Da Vinci Disappearance,Xbox360,2011-03-08,75,8.4,UbisoftMontreal,"Action Adventure,Historic,Historic,Open-World",1 Player,13,35,7.347368421052631
8113,Assassin's Creed: Brotherhood - The Da Vinci Disappearance,PlayStation3,2011-03-09,76,7.8,UbisoftMontreal,"Action Adventure,Historic,Historic,Open-World",1 Player,9,44,7.369999999999999
8115,Okamiden,DS,2011-03-10,82,8.3,Capcom,"Action Adventure,Fantasy,General,Fantasy",No info,48,70,7.9071428571428575
8134,Dissidia 012: Duodecim Final Fantasy,PSP,2011-03-21,78,8.3,SquareEnix,"Action,Fighting,Fighting,3D,3D",No Online Multiplayer,52,286,7.43076923076923
8139,Tom Clancy's Ghost Recon: Shadow Wars,3DS,2011-03-22,77,7.8,Ubisoft,"Action,Strategy,Shooter,Turn-Based,First-Person,Modern,General,Modern,Tactical,Modern",No info,49,84,6.766666666666667
8140,Assassin's Creed: Brotherhood,PC,2011-03-22,88,8.3,UbisoftMontreal,"Action Adventure,Historic,Historic,Open-World",No info,24,1771,7.414285714285714
8163,Pro Evolution Soccer 2011 3D,3DS,2011-03-25,73,6.9,Konami,"Sports,Traditional,Team,Soccer,Sim,Sim",No info,43,23,6.9937499999999995
8165,Super Street Fighter IV: 3D Edition,3DS,2011-03-27,85,8.0,Capcom,"Action,Fighting,Fighting,3D,2D,3D",2 ,69,233,7.944444444444445
8167,Combat of Giants: Dinosaurs 3D,3DS,2011-03-27,44,5.3,Ubisoft,"Action Adventure,Historic,General,Historic",No info,18,10,6.653846153846154
8168,Nintendogs + Cats: Toy Poodle & New Friends,3DS,2011-03-27,71,7.2,Nintendo,"Simulation,Miscellaneous,Virtual Life,Virtual Life,Virtual,Pet",No info,43,18,7.800000000000001
8173,Nintendogs + Cats: Golden Retriever & New Friends,3DS,2011-03-27,71,7.3,Nintendo,"Simulation,Miscellaneous,Virtual Life,Virtual Life,Virtual,Pet",No info,42,50,7.764285714285714
8174,Nintendogs + Cats: French Bulldog & New Friends,3DS,2011-03-27,71,7.1,Nintendo,"Simulation,Miscellaneous,Virtual Life,Virtual Life,Virtual,Pet",No info,40,21,7.720000000000001
8175,Back to the Future: The Game - Episode III: Citizen Brown,PC,2011-03-28,71,5.8,TelltaleGames,"Action Adventure,Adventure,Sci-Fi,Sci-Fi,3D,Third-Person",No info,23,30,7.3
8208,Rabbids Travel in Time 3D,3DS,2011-04-10,55,6.3,Ubisoft,"Action,Adventure,General,Platformer,Platformer,2D,2D",1 Player,26,16,6.628571428571428
8209,Tom Clancy's Splinter Cell 3D,3DS,2011-04-10,53,5.8,Ubisoft,"Action Adventure,Modern,General,Modern",No Online Multiplayer,32,30,6.573333333333333
8213,Michael Jackson The Experience,PlayStation3,2011-04-12,66,8.1,UbisoftMontreal,"Action,Miscellaneous,Rhythm,General,Dancing,Dancing",1-4 ,11,25,7.445454545454544
8221,Michael Jackson The Experience,Xbox360,2011-04-12,63,7.2,UbisoftMontreal,"Action,Miscellaneous,Rhythm,General,Dancing,Dancing",No info,31,36,7.434782608695652
8229,Prince of Persia Classic Trilogy HD,PlayStation3,2011-04-19,81,7.9,Ubisoft,"Miscellaneous,Action Adventure,Fantasy,Compilation",No Online Multiplayer,21,78,6.65625
8231,Puzzle Agent,PlayStation3,2011-04-19,66,5.0,TelltaleGames,"Miscellaneous,Puzzle,Puzzle,General,Puzzle,General",No info,7,7,7.223333333333333
8251,Back to the Future: The Game - Episode IV: Double Visions,PC,2011-04-29,71,6.1,TelltaleGames,"Action Adventure,Adventure,Sci-Fi,Sci-Fi,3D,Third-Person",No info,17,29,7.187096774193549
8298,DiRT 3,PC,2011-05-23,86,7.0,Codemasters,"Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile",No info,23,520,6.999999999999999
8299,DiRT 3,PlayStation3,2011-05-24,87,7.2,Codemasters,"Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile",Up to 8 ,52,130,7.022222222222222
8301,DiRT 3,Xbox360,2011-05-24,87,7.1,Codemasters,"Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile",No info,81,175,7.029999999999999
8320,Operation Flashpoint: Red River,PC,2011-06-06,67,4.9,Codemasters,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",4  Online,25,114,6.836363636363635
8325,Operation Flashpoint: Red River,PlayStation3,2011-06-07,67,6.6,Codemasters,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",Up to 4 ,36,18,6.816666666666666
8326,Operation Flashpoint: Red River,Xbox360,2011-06-07,69,5.7,Codemasters,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",Up to 4 ,64,32,6.730769230769231
8327,Super Street Fighter IV: Arcade Edition,PlayStation3,2011-06-07,80,7.2,Capcom,"Action,Fighting,Fighting,3D,2D,2D,3D",Up to 8 ,24,61,7.917857142857143
8372,Back to the Future: The Game - Episode V: OUTATIME,PC,2011-06-23,75,7.1,TelltaleGames,"Action Adventure,Adventure,Sci-Fi,Sci-Fi,3D,Third-Person",No info,17,38,7.114285714285715
8375,Beyond Good & Evil HD,PlayStation3,2011-06-28,83,8.5,Ubisoft,"Action Adventure,Fantasy,General,Fantasy",No Online Multiplayer,13,99,6.764705882352941
8378,Resident Evil: The Mercenaries 3D,3DS,2011-06-28,65,6.7,Capcom,"Action,Action Adventure,Horror,Horror,Shooter,Survival,Third-Person,Tactical",2 ,69,132,7.822222222222223
8382,Super Street Fighter IV: Arcade Edition,Xbox360,2011-06-28,78,7.0,Capcom,"Action,Fighting,Fighting,3D,2D,2D,3D",Up to 8 ,32,50,7.792857142857144
8388,Puzzle Agent 2,PC,2011-06-30,63,6.7,TelltaleGames,"Miscellaneous,Puzzle,Puzzle,General,Puzzle,General",No info,22,47,7.1000000000000005
8396,NCAA Football 12,Xbox360,2011-07-12,82,6.6,EASports,"Sports,Traditional,Team,Football,Sim,Sim",Online Multiplayer,25,55,7.123076923076923
8397,NCAA Football 12,PlayStation3,2011-07-12,82,5.8,EASports,"Sports,Traditional,Team,Football,Sim,Sim",2 ,17,41,7.028571428571428
8482,Driver: Renegade,3DS,2011-09-06,48,5.2,Ubisoft,"Driving,Racing,Mission-based,Arcade,Mission-based,Automobile",No info,13,26,6.677777777777778
8497,Leedmees,Xbox360,2011-09-07,60,6.2,Konami,"Action,General,General",1-2 ,10,5,6.9
8501,Star Fox 64 3D,3DS,2011-09-09,81,8.1,Nintendo,"Action,Shooter,Shooter,Rail,Rail",4  Online,65,269,7.566666666666666
8509,Call of Juarez: The Cartel,PC,2011-09-13,51,3.4,Ubisoft,"Action,Shooter,Shooter,First-Person,Historic,Modern,Modern,Arcade",No info,12,157,6.5052631578947375
8522,F1 2011,PC,2011-09-19,83,7.2,Codemasters,"Driving,Racing,Simulation,Formula One,Formula One,Automobile",No info,10,95,6.627272727272726
8528,F1 2011,Xbox360,2011-09-20,84,7.2,Codemasters,"Driving,Racing,Simulation,Formula One,Formula One,Automobile",No info,61,59,6.675
8531,Resident Evil 4 HD,PlayStation3,2011-09-20,84,8.5,Capcom,"Action Adventure,Horror,Horror,Survival",No Online Multiplayer,28,277,7.78
8533,Resident Evil 4 HD,Xbox360,2011-09-20,84,8.0,Capcom,"Action Adventure,Horror,Horror,Survival",No Online Multiplayer,36,234,7.788461538461538
8534,F1 2011,PlayStation3,2011-09-20,82,7.2,Codemasters,"Driving,Racing,Simulation,Formula One,Formula One,Automobile",No info,36,59,6.7153846153846155
8547,Resident Evil Code: Veronica X HD,Xbox360,2011-09-27,67,8.4,Capcom,"Action Adventure,Horror,Horror,Survival",1 Player,28,61,7.811111111111111
8549,Pro Evolution Soccer 2012,PlayStation3,2011-09-27,80,6.8,Konami,"Sports,Traditional,Team,Football,Soccer,Sim,Sim",Up to 8 ,41,143,6.894117647058824
8552,Tom Clancy's Splinter Cell Classic Trilogy HD,PlayStation3,2011-09-27,67,7.1,Ubisoft,"Miscellaneous,Compilation,Compilation",No info,21,39,6.534999999999999
8554,Resident Evil Code: Veronica X HD,PlayStation3,2011-09-27,65,8.1,Capcom,"Action Adventure,Horror,Horror,Survival",No Online Multiplayer,18,98,7.821428571428571
8556,Castlevania: Harmony of Despair,PlayStation3,2011-09-27,68,7.5,Konami,"Action Adventure,Fantasy,General,Fantasy",Up to 6 ,11,36,6.927777777777778
8559,Pro Evolution Soccer 2012,PC,2011-09-27,77,6.4,Konami,"Sports,Traditional,Soccer,Sim",No info,13,115,6.8999999999999995
8561,Pro Evolution Soccer 2012,Xbox360,2011-09-27,78,6.6,Konami,"Sports,Traditional,Team,Football,Soccer,Sim,Sim,Sim",Up to 8 ,36,60,6.885
8590,NBA Jam: On Fire Edition,PlayStation3,2011-10-04,81,7.4,EASports,"Sports,Traditional,Team,Basketball,Arcade,Arcade",No info,16,29,7.053333333333333
8594,NBA Jam: On Fire Edition,Xbox360,2011-10-05,85,7.5,EASports,"Sports,Traditional,Team,Basketball,Arcade,Arcade",No info,20,35,7.08125
8595,Just Dance 3,Xbox360,2011-10-07,70,7.7,Ubisoft,"Action,Miscellaneous,Rhythm,Dancing,Dancing",No Online Multiplayer,34,18,6.590476190476191
8596,Just Dance 3,Wii,2011-10-07,74,8.0,Ubisoft,"Action,Miscellaneous,Rhythm,Dancing,Dancing",No info,15,22,6.654545454545455
8630,Rocksmith,PlayStation3,2011-10-18,80,8.2,Ubisoft,"Action,Miscellaneous,Rhythm,Music,Music",No Online Multiplayer,27,54,6.721739130434782
8635,PowerUp Heroes,Xbox360,2011-10-18,61,6.9,Ubisoft,"Action,Fighting,Fighting,3D,3D",No info,13,11,6.729166666666667
8644,Rocksmith,Xbox360,2011-10-18,77,8.2,Ubisoft,"Action,Miscellaneous,Rhythm,Music,Music",No Online Multiplayer,30,62,6.787999999999999
8667,Zombie Apocalypse: Never Die Alone,PlayStation3,2011-10-25,67,3.0,Konami,"Action,General,Shooter,Static,Shoot-'Em-Up,Top-Down",No info,9,4,6.610526315789474
8693,Otomedius Excellent,Xbox360,2011-11-01,48,7.9,Konami,"Action,Shooter,Shooter,Scrolling,Scrolling,Shoot-'Em-Up,Vertical,Horizontal",1-3 ,8,20,6.675
8702,James Noir's Hollywood Crimes,3DS,2011-11-01,60,6.6,Ubisoft,"Miscellaneous,Puzzle,Puzzle,General,Puzzle,General",No info,22,7,6.7807692307692315
8703,NCIS,Xbox360,2011-11-01,35,4.0,Ubisoft,"Adventure,General,General",No Online Multiplayer,11,7,6.677777777777778
8720,Raving Rabbids: Alive & Kicking,Xbox360,2011-11-08,58,5.6,Ubisoft,"Miscellaneous,Party,Party,Party / Minigame",No Online Multiplayer,31,14,6.562962962962963
8723,Your Shape Fitness Evolved 2012,Xbox360,2011-11-08,77,7.5,Ubisoft,"Sports,Miscellaneous,General,Exercise / Fitness",No Online Multiplayer,13,20,6.596428571428572
8733,Super Mario 3D Land,3DS,2011-11-13,90,8.4,Nintendo,"Action,Platformer,Platformer,3D,3D",No Online Multiplayer,82,1306,7.666666666666667
8739,Ultimate Marvel vs. Capcom 3,PlayStation3,2011-11-15,80,6.6,Capcom,"Action,Fighting,Fighting,2D,2D",Up to 8 ,36,140,7.779310344827586
8748,Jurassic Park: The Game,Xbox360,2011-11-15,60,3.8,TelltaleGames,"Adventure,General,General,Visual Novel,Point-and-Click",No info,9,134,6.776190476190477
8749,Assassin's Creed: Revelations,PlayStation3,2011-11-15,80,7.6,UbisoftMontreal,"Action Adventure,Historic,Historic,Open-World",Up to 8 ,39,804,7.441666666666666
8751,Assassin's Creed: Revelations,Xbox360,2011-11-15,80,7.3,UbisoftMontreal,"Action Adventure,Historic,Historic,Open-World",Up to 8 ,77,701,7.435999999999999
8752,Ultimate Marvel vs. Capcom 3,Xbox360,2011-11-15,79,6.6,Capcom,"Action,Fighting,Fighting,2D,2D",Up to 8 ,44,98,7.739999999999999
8755,Pro Evolution Soccer 2012,Wii,2011-11-15,79,7.4,Konami,"Sports,Traditional,Team,Football,Soccer,Sim,Sim,Sim",No info,9,14,6.647058823529412
8763,Jurassic Park: The Game,PC,2011-11-15,54,4.7,TelltaleGames,"Adventure,General,General,Visual Novel,Point-and-Click",No Online Multiplayer,34,198,6.681818181818182
8764,Jurassic Park: The Game,PlayStation3,2011-11-15,53,4.7,TelltaleGames,"Adventure,General,General,Visual Novel,Point-and-Click",No info,20,67,6.595652173913044
8770,The Legend of Zelda: Skyward Sword,Wii,2011-11-20,93,8.1,Nintendo,"Fantasy,General,Fantasy,Action Adventure,Open-World",No Online Multiplayer,81,2499,7.644444444444446
8784,Assassin's Creed: Revelations,PC,2011-11-29,80,7.5,UbisoftMontreal,"Action Adventure,Historic,Historic,Open-World",No info,20,1279,7.329166666666666
8793,F1 2011,3DS,2011-12-06,59,6.8,Codemasters,"Driving,Racing,Simulation,Formula One,Formula One,Automobile",No info,15,16,6.827272727272727
8833,Law & Order: Legacies,PC,2012-01-24,53,7.0,TelltaleGames,"Miscellaneous,Adventure,General,General",No info,10,15,6.569565217391306
8841,Final Fantasy XIII-2,Xbox360,2012-01-31,79,6.4,SquareEnix,"Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style",No Online Multiplayer,50,300,7.125
8842,Final Fantasy XIII-2,PlayStation3,2012-01-31,79,6.9,SquareEnix,"Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style",No Online Multiplayer,53,800,7.1000000000000005
8847,Pro Evolution Soccer 2012 3D,3DS,2012-02-01,73,7.7,Konami,"Sports,Traditional,Team,Football,Soccer,Sim,Sim,Sim",No info,9,17,6.705555555555556
8856,Resident Evil: Revelations,3DS,2012-02-07,82,8.5,Capcom,"Action Adventure,Horror,Horror,Survival",2 ,78,514,7.703448275862069
8873,Rhythm Heaven Fever,Wii,2012-02-13,83,8.3,Nintendo,"Action,Miscellaneous,Rhythm,Music,Music",No info,56,84,7.688888888888889
8874,Grand Slam Tennis 2,PlayStation3,2012-02-14,73,5.4,EASports,"Sports,Traditional,Individual,Tennis,Tennis",Up to 4 ,36,20,7.146153846153846
8884,Grand Slam Tennis 2,Xbox360,2012-02-14,71,5.3,EASports,"Sports,Traditional,Individual,Tennis,Tennis",Up to 4 ,45,15,7.014285714285713
8888,Dungeon Hunter: Alliance,PlayStationVita,2012-02-15,49,6.4,Ubisoft,"Role-Playing,Action RPG,Action RPG",Up to 4 ,34,68,6.614285714285715
8890,Michael Jackson The Experience HD,PlayStationVita,2012-02-15,57,6.5,Ubisoft,"Action,Miscellaneous,Rhythm,Dancing,Dancing",No info,27,24,6.610344827586207
8893,Asphalt: Injection,PlayStationVita,2012-02-15,49,5.0,Ubisoft,"Driving,Racing,General,General,Arcade,Automobile",No info,33,31,6.5566666666666675
8897,Ultimate Marvel vs. Capcom 3,PlayStationVita,2012-02-15,80,7.8,Capcom,"Action,Fighting,Fighting,2D,2D",No info,48,102,7.706666666666667
8899,F1 2011,PlayStationVita,2012-02-15,66,6.6,Codemasters,"Driving,Racing,Simulation,Formula One,Formula One,Automobile",No info,27,29,6.681818181818182
8922,SSX,PlayStation3,2012-02-28,81,6.8,EACanada,"Sports,Alternative,Individual,Snowboarding,Snowboarding,Ski / Snowboard",1 Player,38,134,7.0
8924,SSX,Xbox360,2012-02-28,82,6.4,EACanada,"Sports,Alternative,Individual,Snowboarding,Snowboarding,Ski / Snowboard",1 Player,65,193,6.945454545454544
8939,Street Fighter X Tekken,PlayStation3,2012-03-06,84,5.5,Capcom,"Action,Fighting,Fighting,3D,2D,3D",Up to 8 ,51,211,7.6230769230769235
8945,Street Fighter X Tekken,Xbox360,2012-03-06,83,4.5,Capcom,"Action,Fighting,Fighting,3D,2D,3D",Up to 8 ,45,185,7.507407407407408
8956,FIFA Street,PlayStation3,2012-03-13,76,6.6,EASports,"Sports,Traditional,Team,Soccer,Sim,Arcade,Arcade",No info,36,85,6.986666666666666
8960,FIFA Street,Xbox360,2012-03-13,77,6.7,EASports,"Sports,Traditional,Team,Soccer,Sim,Arcade",Up to 8 ,47,65,6.96875
8965,Silent Hill: Downpour,Xbox360,2012-03-13,68,7.3,Konami,"Action Adventure,Horror,Horror,Survival",No Online Multiplayer,38,327,6.6499999999999995
8981,Silent Hill HD Collection,Xbox360,2012-03-20,69,5.7,Konami,"Miscellaneous,Action Adventure,Horror,Compilation",No Online Multiplayer,17,116,6.644444444444444
8988,Rayman 3 HD,PlayStation3,2012-03-20,72,6.5,Ubisoft,"Action,Platformer,Platformer,3D,3D",1 Player,15,33,6.55483870967742
8993,Rayman 3 HD,Xbox360,2012-03-21,69,7.5,Ubisoft,"Action,Platformer,Platformer,3D,3D",1 Player,17,26,6.5843750000000005
9002,Capcom Digital Collection,Xbox360,2012-03-27,65,5.3,Capcom,"Miscellaneous,Compilation,Compilation",Up to 4 ,11,4,7.428571428571429
9046,The Walking Dead: Episode 1 - A New Day,PlayStation3,2012-04-24,84,8.1,TelltaleGames,"Action,Miscellaneous,Adventure,General,Compilation,Point-and-Click",No info,21,171,6.5
9047,UEFA Euro 2012,PC,2012-04-24,64,4.0,EACanada,"Sports,Traditional,Team,Soccer,Sim,Sim",No info,7,44,6.699999999999999
9050,The Walking Dead: A Telltale Games Series,PC,2012-04-24,89,8.8,TelltaleGames,"Compilation,Miscellaneous,Adventure,Compilation,Point-and-Click",No Online Multiplayer,14,3094,6.604545454545454
9051,UEFA Euro 2012,Xbox360,2012-04-24,70,2.8,EACanada,"Sports,Traditional,Team,Soccer,Sim,Sim",No info,21,33,6.4
9052,UEFA Euro 2012,PlayStation3,2012-04-24,65,2.3,EACanada,"Sports,Traditional,Team,Soccer,Sim,Sim",No info,19,23,6.107142857142857
9053,The Walking Dead: Episode 1 - A New Day,PC,2012-04-24,82,8.4,TelltaleGames,"Action,Miscellaneous,Adventure,General,Compilation,Point-and-Click",No info,40,824,6.682608695652173
9058,The Walking Dead: A Telltale Games Series,Xbox360,2012-04-27,92,8.6,TelltaleGames,"Miscellaneous,Adventure,Compilation,Compilation,Point-and-Click",No Online Multiplayer,12,1247,6.762499999999999
9059,The Walking Dead: Episode 1 - A New Day,Xbox360,2012-04-27,79,8.0,TelltaleGames,"Miscellaneous,Adventure,General,Compilation,Point-and-Click",1 Player,26,171,6.811999999999999
9099,Dragon's Dogma,PlayStation3,2012-05-22,78,8.4,Capcom,"Action,Role-Playing,General,Action RPG,Action RPG",No Online Multiplayer,38,464,7.413043478260869
9103,Dragon's Dogma,Xbox360,2012-05-22,75,7.9,Capcom,"Action,Role-Playing,General,Action RPG,Action RPG",No Online Multiplayer,59,334,7.433333333333334
9108,DiRT Showdown,PC,2012-05-23,72,5.8,Codemasters,"Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile",No info,11,202,6.608333333333333
9119,Kingdom Hearts 3D: Dream Drop Distance,3DS,2012-06-05,75,8.3,SquareEnix,"Role-Playing,Action RPG,Action RPG",No Online Multiplayer,54,525,7.375
9127,DiRT Showdown,PlayStation3,2012-06-12,75,6.6,Codemasters,"Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile",Up to 8 ,27,47,6.607692307692307
9133,DiRT Showdown,Xbox360,2012-06-12,75,6.5,Codemasters,"Rally / Offroad,Driving,Racing,Simulation,Rally / Offroad,Automobile",Up to 8 ,53,61,6.6
9164,Resident Evil: Chronicles HD Collection,PlayStation3,2012-06-26,70,8.3,Capcom,"Miscellaneous,Compilation,Compilation",No Online Multiplayer,31,49,7.468000000000001
9172,The Walking Dead: Episode 2 - Starved for Help,Xbox360,2012-06-27,84,8.4,TelltaleGames,"Miscellaneous,Adventure,General,Compilation,Point-and-Click",No info,26,179,6.77391304347826
9175,The Walking Dead: Episode 2 - Starved for Help,PC,2012-06-29,84,8.5,TelltaleGames,"Miscellaneous,Adventure,General,Compilation,Point-and-Click",No info,25,398,6.839130434782608
9176,The Walking Dead: Episode 2 - Starved for Help,PlayStation3,2012-06-29,84,8.2,TelltaleGames,"Miscellaneous,Adventure,General,Compilation,Point-and-Click",No info,12,161,6.895833333333333
9244,New Super Mario Bros. 2,3DS,2012-08-19,78,7.2,Nintendo,"Action,Platformer,Platformer,2D,2D",No Online Multiplayer,70,610,7.711111111111112
9251,JoJo's Bizarre Adventure HD Ver.,PlayStation3,2012-08-21,64,6.0,Capcom,"Action,Fighting,Fighting,2D,2D",No info,24,26,7.411538461538462
9256,JoJo's Bizarre Adventure HD Ver.,Xbox360,2012-08-22,68,5.6,Capcom,"Action,Fighting,Fighting,2D,2D",Up to 8 ,9,28,7.344444444444445
9269,The Walking Dead: Episode 3 - Long Road Ahead,PlayStation3,2012-08-28,87,7.9,TelltaleGames,"Miscellaneous,Adventure,General,Compilation,Point-and-Click",No info,13,154,6.904166666666666
9272,The Walking Dead: Episode 3 - Long Road Ahead,PC,2012-08-29,85,8.3,TelltaleGames,"Miscellaneous,Adventure,General,Compilation,Point-and-Click",No info,24,264,6.929166666666667
9273,The Walking Dead: Episode 3 - Long Road Ahead,Xbox360,2012-08-29,88,8.1,TelltaleGames,"Miscellaneous,Adventure,General,Compilation,Point-and-Click",No info,16,110,6.976
9302,F1 2012,PC,2012-09-17,80,7.3,Codemasters,"Driving,Racing,Simulation,Formula One,Formula One,Automobile",No info,15,133,6.646666666666666
9308,F1 2012,Xbox360,2012-09-18,84,6.8,Codemasters,"Driving,Racing,Simulation,Formula One,Formula One,Automobile",No info,42,60,6.65625
9309,F1 2012,PlayStation3,2012-09-18,81,7.5,Codemasters,"Driving,Racing,Simulation,Formula One,Formula One,Automobile",Up to 16 ,23,57,6.705882352941177
9325,Pro Evolution Soccer 2013,PlayStation3,2012-09-25,82,7.0,Konami,"Sports,Traditional,Team,Soccer,Sim,Sim",No info,37,170,6.663157894736842
9332,Pro Evolution Soccer 2013,Xbox360,2012-09-25,82,7.1,Konami,"Sports,Traditional,Team,Soccer,Sim,Sim",No info,33,87,6.685
9333,Pro Evolution Soccer 2013,PC,2012-09-25,80,7.1,Konami,"Sports,Traditional,Team,Soccer,Sim,Sim",No info,8,249,6.704761904761904
9344,New Little King's Story,PlayStationVita,2012-10-02,70,7.6,Konami,"Strategy,Real-Time,Fantasy,General,Fantasy",No info,39,44,6.745454545454546
9349,Resident Evil 6,Xbox360,2012-10-02,67,5.2,Capcom,"Action Adventure,Horror,Horror,Survival",Up to 6 ,71,1511,7.267857142857143
9351,Resident Evil 6,PlayStation3,2012-10-02,74,5.6,Capcom,"Action Adventure,Horror,Horror,Survival",Up to 4 ,34,1509,7.210344827586207
9370,The Walking Dead: Episode 4 - Around Every Corner,PlayStation3,2012-10-09,81,8.1,TelltaleGames,"Miscellaneous,Adventure,General,Compilation,Point-and-Click",No info,9,82,7.019230769230769
