,platform,count,year
299,3DS,0,2008
300,PlayStationVita,0,2008
301,WiiU,0,2008
302,PlayStation4,0,2008
303,XboxOne,0,2008
304,Switch,0,2008
305,Stadia,0,2008
306,XboxSeriesX,0,2008
307,PlayStation5,0,2008
308,PC,1761,2009
309,PlayStation,189,2009
310,Nintendo64,71,2009
311,Dreamcast,126,2009
312,PlayStation2,1419,2009
313,GameBoyAdvance,442,2009
314,Xbox,793,2009
315,GameCube,452,2009
316,DS,612,2009
317,PSP,424,2009
318,Xbox360,758,2009
319,PlayStation3,428,2009
320,Wii,487,2009
321,3DS,0,2009
322,PlayStationVita,0,2009
323,WiiU,0,2009
324,PlayStation4,0,2009
325,XboxOne,0,2009
326,Switch,0,2009
327,Stadia,0,2009
328,XboxSeriesX,0,2009
329,PlayStation5,0,2009
330,PC,1913,2010
331,PlayStation,189,2010
332,Nintendo64,71,2010
333,Dreamcast,126,2010
334,PlayStation2,1421,2010
335,GameBoyAdvance,442,2010
336,Xbox,793,2010
337,GameCube,452,2010
338,DS,686,2010
339,PSP,479,2010
340,Xbox360,1000,2010
341,PlayStation3,627,2010
342,Wii,605,2010
343,3DS,0,2010
344,PlayStationVita,0,2010
345,WiiU,0,2010
346,PlayStation4,0,2010
347,XboxOne,0,2010
348,Switch,0,2010
349,Stadia,0,2010
350,XboxSeriesX,0,2010
351,PlayStation5,0,2010
352,PC,2111,2011
353,PlayStation,189,2011
354,Nintendo64,71,2011
355,Dreamcast,126,2011
356,PlayStation2,1421,2011
357,GameBoyAdvance,442,2011
358,Xbox,793,2011
359,GameCube,452,2011
360,DS,721,2011
361,PSP,505,2011
362,Xbox360,1245,2011
363,PlayStation3,863,2011
364,Wii,652,2011
365,3DS,73,2011
366,PlayStationVita,0,2011
367,WiiU,0,2011
368,PlayStation4,0,2011
369,XboxOne,0,2011
370,Switch,0,2011
371,Stadia,0,2011
372,XboxSeriesX,0,2011
373,PlayStation5,0,2011
374,PC,2322,2012
375,PlayStation,189,2012
376,Nintendo64,71,2012
377,Dreamcast,126,2012
378,PlayStation2,1421,2012
379,GameBoyAdvance,442,2012
380,Xbox,793,2012
381,GameCube,452,2012
382,DS,728,2012
383,PSP,510,2012
384,Xbox360,1465,2012
385,PlayStation3,1042,2012
386,Wii,662,2012
387,3DS,133,2012
388,PlayStationVita,70,2012
389,WiiU,35,2012
390,PlayStation4,0,2012
391,XboxOne,0,2012
392,Switch,0,2012
393,Stadia,0,2012
394,XboxSeriesX,0,2012
395,PlayStation5,0,2012
396,PC,2599,2013
397,PlayStation,189,2013
398,Nintendo64,71,2013
399,Dreamcast,126,2013
400,PlayStation2,1421,2013
401,GameBoyAdvance,442,2013
402,Xbox,793,2013
403,GameCube,452,2013
404,DS,728,2013
405,PSP,512,2013
406,Xbox360,1615,2013
407,PlayStation3,1180,2013
408,Wii,663,2013
409,3DS,193,2013
410,PlayStationVita,116,2013
411,WiiU,81,2013
412,PlayStation4,27,2013
413,XboxOne,19,2013
414,Switch,0,2013
415,Stadia,0,2013
416,XboxSeriesX,0,2013
417,PlayStation5,0,2013
418,PC,2871,2014
419,PlayStation,189,2014
420,Nintendo64,71,2014
421,Dreamcast,126,2014
422,PlayStation2,1421,2014
423,GameBoyAdvance,442,2014
424,Xbox,793,2014
425,GameCube,452,2014
426,DS,728,2014
427,PSP,512,2014
428,Xbox360,1664,2014
429,PlayStation3,1254,2014
430,Wii,663,2014
431,3DS,253,2014
432,PlayStationVita,174,2014
433,WiiU,126,2014
434,PlayStation4,163,2014
435,XboxOne,104,2014
436,Switch,0,2014
437,Stadia,0,2014
438,XboxSeriesX,0,2014
439,PlayStation5,0,2014
440,PC,3186,2015
441,PlayStation,189,2015
442,Nintendo64,71,2015
443,Dreamcast,126,2015
444,PlayStation2,1421,2015
445,GameBoyAdvance,442,2015
446,Xbox,793,2015
447,GameCube,452,2015
448,DS,728,2015
449,PSP,514,2015
450,Xbox360,1664,2015
451,PlayStation3,1265,2015
452,Wii,663,2015
453,3DS,306,2015
454,PlayStationVita,219,2015
455,WiiU,169,2015
456,PlayStation4,400,2015
457,XboxOne,262,2015
458,Switch,0,2015
459,Stadia,0,2015
460,XboxSeriesX,0,2015
461,PlayStation5,0,2015
462,PC,3518,2016
463,PlayStation,189,2016
464,Nintendo64,71,2016
465,Dreamcast,126,2016
466,PlayStation2,1421,2016
467,GameBoyAdvance,442,2016
468,Xbox,793,2016
469,GameCube,452,2016
470,DS,728,2016
471,PSP,514,2016
472,Xbox360,1665,2016
473,PlayStation3,1265,2016
474,Wii,663,2016
475,3DS,352,2016
476,PlayStationVita,244,2016
477,WiiU,185,2016
478,PlayStation4,757,2016
479,XboxOne,468,2016
480,Switch,0,2016
481,Stadia,0,2016
482,XboxSeriesX,0,2016
483,PlayStation5,0,2016
484,PC,3803,2017
485,PlayStation,189,2017
486,Nintendo64,71,2017
487,Dreamcast,126,2017
488,PlayStation2,1421,2017
489,GameBoyAdvance,442,2017
490,Xbox,793,2017
491,GameCube,452,2017
492,DS,728,2017
493,PSP,514,2017
494,Xbox360,1665,2017
495,PlayStation3,1265,2017
496,Wii,663,2017
497,3DS,382,2017
498,PlayStationVita,256,2017
499,WiiU,186,2017
500,PlayStation4,1124,2017
501,XboxOne,658,2017
502,Switch,172,2017
503,Stadia,0,2017
504,XboxSeriesX,0,2017
505,PlayStation5,0,2017
