,genre,count,year
313,Vertical,0,1996
314,No info,0,1996
315,Bowling,0,1996
316,WWI,0,1996
317,Edutainment,0,1996
318,Gambling,0,1996
319,Party / Minigame,0,1996
320,Pet,0,1996
321,Static,0,1996
322,Ski / Snowboard,0,1996
323,Visual Novel,0,1996
324,Application,0,1996
325,Boxing / Martial Arts,0,1996
326,Logic,0,1996
327,Videos,0,1996
328,Interactive Movie,0,1996
329,Roguelike,0,1996
330,Trainer,0,1996
331,Hidden Object,0,1996
332,Cricket,0,1996
333,Sandbox,0,1996
334,Defense,0,1996
335,Drag,0,1996
336,Skiing,0,1996
337,Exercise / Fitness,0,1996
338,MOBA,0,1996
339,Text,0,1996
340,Adventure,9,1997
341,General,22,1997
342,Action,16,1997
343,Shooter,14,1997
344,First-Person,10,1997
345,Sci-Fi,15,1997
346,Arcade,4,1997
347,Strategy,7,1997
348,Turn-Based,2,1997
349,Historic,4,1997
350,4X,2,1997
351,Action Adventure,4,1997
352,Horror,2,1997
353,Fighting,2,1997
354,3D,4,1997
355,Platformer,3,1997
356,Simulation,3,1997
357,Point-and-Click,4,1997
358,Driving,5,1997
359,Racing,5,1997
360,Futuristic,2,1997
361,Real-Time,6,1997
362,Command,3,1997
363,Snow / Water,1,1997
364,Modern,7,1997
365,Miscellaneous,2,1997
366,Puzzle,1,1997
367,Matching,1,1997
368,Role-Playing,4,1997
369,Action RPG,3,1997
370,Kart,2,1997
371,Rail,1,1997
372,Flight,1,1997
373,Modern Jet,1,1997
374,2D,2,1997
375,Console-style RPG,1,1997
376,Third-Person,2,1997
377,Shoot-'Em-Up,1,1997
378,Top-Down,1,1997
379,Wargame,1,1997
380,PC-style RPG,2,1997
381,Western-Style,1,1997
382,Small Spaceship,1,1997
383,Rhythm,1,1997
384,Music,1,1997
385,Fantasy,4,1997
386,GT / Street,0,1997
387,Scrolling,0,1997
388,Light Gun,0,1997
389,Tactical,0,1997
390,Tycoon,0,1997
391,Management,0,1997
392,Business / Tycoon,0,1997
393,Combat,0,1997
394,Party,0,1997
395,Massively Multiplayer Online,0,1997
396,Massively Multiplayer,0,1997
397,Sports,0,1997
398,Traditional,0,1997
399,Golf,0,1997
400,Mission-based,0,1997
401,Football,0,1997
402,Survival,0,1997
403,Alternative,0,1997
404,Skateboarding,0,1997
405,Motorcycle,0,1997
406,Motocross,0,1997
407,Space,0,1997
408,Breeding/Constructing,0,1997
409,Beat-'Em-Up,0,1997
410,Automobile,0,1997
411,Virtual Life,0,1997
412,Virtual,0,1997
413,Parlor,0,1997
414,Billiards,0,1997
415,City Building,0,1997
416,Government,0,1997
417,Tactics,0,1997
418,Tennis,0,1997
419,Sim,0,1997
420,Large Spaceship,0,1997
421,Civilian,0,1997
422,Rally / Offroad,0,1997
423,Formula One,0,1997
424,Nature,0,1997
425,Fishing,0,1997
426,Baseball,0,1997
427,Olympic Sports,0,1997
428,Helicopter,0,1997
429,Wrestling,0,1997
430,Futuristic Sub,0,1997
431,Individual,0,1997
432,Team,0,1997
433,Athletics,0,1997
434,Ice Hockey,0,1997
435,Futuristic Jet,0,1997
436,Stock Car,0,1997
437,Tank,0,1997
438,Vehicle,0,1997
439,Demolition Derby,0,1997
440,Biking,0,1997
441,Snowboarding,0,1997
442,Street,0,1997
443,WWII,0,1997
444,Board / Card Game,0,1997
445,Basketball,0,1997
446,Boxing,0,1997
447,Mech,0,1997
448,Skate / Skateboard,0,1997
449,Surfing,0,1997
450,Soccer,0,1997
451,Trivia / Game Show,0,1997
452,Car Combat,0,1997
453,Volleyball,0,1997
454,Other,0,1997
455,Linear,0,1997
456,Surf / Wakeboard,0,1997
457,Ship,0,1997
458,Marine,0,1997
459,Compilation,0,1997
460,Pinball,0,1997
461,Dancing,0,1997
462,Music Maker,0,1997
463,Train,0,1997
464,Artillery,0,1997
465,Japanese-Style,0,1997
466,Rugby,0,1997
467,Horse Racing,0,1997
468,Stacking,0,1997
469,Military,0,1997
470,Career,0,1997
471,Civilian Plane,0,1997
472,Submarine,0,1997
473,On-foot,0,1997
474,Open-World,0,1997
475,Truck,0,1997
476,Horizontal,0,1997
477,Skating,0,1997
478,Card Battle,0,1997
479,Board Games,0,1997
480,Old Jet,0,1997
481,Hunting,0,1997
482,Wakeboarding,0,1997
483,Vertical,0,1997
484,No info,0,1997
485,Bowling,0,1997
486,WWI,0,1997
487,Edutainment,0,1997
488,Gambling,0,1997
489,Party / Minigame,0,1997
490,Pet,0,1997
491,Static,0,1997
492,Ski / Snowboard,0,1997
493,Visual Novel,0,1997
494,Application,0,1997
495,Boxing / Martial Arts,0,1997
496,Logic,0,1997
497,Videos,0,1997
498,Interactive Movie,0,1997
499,Roguelike,0,1997
500,Trainer,0,1997
501,Hidden Object,0,1997
502,Cricket,0,1997
503,Sandbox,0,1997
504,Defense,0,1997
505,Drag,0,1997
506,Skiing,0,1997
507,Exercise / Fitness,0,1997
508,MOBA,0,1997
509,Text,0,1997
510,Adventure,12,1998
511,General,34,1998
512,Action,36,1998
513,Shooter,27,1998
514,First-Person,20,1998
515,Sci-Fi,25,1998
516,Arcade,7,1998
517,Strategy,12,1998
518,Turn-Based,3,1998
519,Historic,4,1998
520,4X,2,1998
521,Action Adventure,11,1998
522,Horror,3,1998
523,Fighting,4,1998
524,3D,12,1998
525,Platformer,9,1998
526,Simulation,5,1998
527,Point-and-Click,5,1998
528,Driving,8,1998
529,Racing,8,1998
530,Futuristic,4,1998
531,Real-Time,8,1998
532,Command,4,1998
533,Snow / Water,1,1998
534,Modern,15,1998
535,Miscellaneous,2,1998
536,Puzzle,1,1998
537,Matching,1,1998
538,Role-Playing,9,1998
539,Action RPG,4,1998
540,Kart,2,1998
541,Rail,1,1998
542,Flight,2,1998
543,Modern Jet,3,1998
544,2D,4,1998
545,Console-style RPG,2,1998
546,Third-Person,3,1998
547,Shoot-'Em-Up,1,1998
548,Top-Down,1,1998
549,Wargame,1,1998
550,PC-style RPG,5,1998
551,Western-Style,3,1998
552,Small Spaceship,2,1998
553,Rhythm,1,1998
554,Music,1,1998
555,Fantasy,11,1998
556,GT / Street,1,1998
557,Scrolling,1,1998
558,Light Gun,1,1998
559,Tactical,1,1998
560,Tycoon,2,1998
561,Management,1,1998
562,Business / Tycoon,1,1998
563,Combat,1,1998
564,Party,0,1998
565,Massively Multiplayer Online,0,1998
566,Massively Multiplayer,0,1998
567,Sports,0,1998
568,Traditional,0,1998
569,Golf,0,1998
570,Mission-based,0,1998
571,Football,0,1998
572,Survival,0,1998
573,Alternative,0,1998
574,Skateboarding,0,1998
575,Motorcycle,0,1998
576,Motocross,0,1998
577,Space,0,1998
578,Breeding/Constructing,0,1998
579,Beat-'Em-Up,0,1998
580,Automobile,0,1998
581,Virtual Life,0,1998
582,Virtual,0,1998
583,Parlor,0,1998
584,Billiards,0,1998
585,City Building,0,1998
586,Government,0,1998
587,Tactics,0,1998
588,Tennis,0,1998
589,Sim,0,1998
590,Large Spaceship,0,1998
591,Civilian,0,1998
592,Rally / Offroad,0,1998
593,Formula One,0,1998
594,Nature,0,1998
595,Fishing,0,1998
596,Baseball,0,1998
597,Olympic Sports,0,1998
598,Helicopter,0,1998
599,Wrestling,0,1998
600,Futuristic Sub,0,1998
601,Individual,0,1998
602,Team,0,1998
603,Athletics,0,1998
604,Ice Hockey,0,1998
605,Futuristic Jet,0,1998
606,Stock Car,0,1998
607,Tank,0,1998
608,Vehicle,0,1998
609,Demolition Derby,0,1998
610,Biking,0,1998
611,Snowboarding,0,1998
612,Street,0,1998
613,WWII,0,1998
614,Board / Card Game,0,1998
615,Basketball,0,1998
616,Boxing,0,1998
617,Mech,0,1998
618,Skate / Skateboard,0,1998
619,Surfing,0,1998
620,Soccer,0,1998
621,Trivia / Game Show,0,1998
622,Car Combat,0,1998
623,Volleyball,0,1998
624,Other,0,1998
625,Linear,0,1998
626,Surf / Wakeboard,0,1998
627,Ship,0,1998
628,Marine,0,1998
629,Compilation,0,1998
630,Pinball,0,1998
631,Dancing,0,1998
632,Music Maker,0,1998
633,Train,0,1998
634,Artillery,0,1998
635,Japanese-Style,0,1998
636,Rugby,0,1998
637,Horse Racing,0,1998
638,Stacking,0,1998
639,Military,0,1998
640,Career,0,1998
641,Civilian Plane,0,1998
642,Submarine,0,1998
643,On-foot,0,1998
644,Open-World,0,1998
645,Truck,0,1998
646,Horizontal,0,1998
647,Skating,0,1998
648,Card Battle,0,1998
649,Board Games,0,1998
650,Old Jet,0,1998
651,Hunting,0,1998
652,Wakeboarding,0,1998
653,Vertical,0,1998
