,name,value,date
245,DoubleHelixGames,0,1995-01-01
246,Player1,0,1995-01-01
247,Funcom,0,1995-01-01
248,AkiCorp.,0,1995-01-01
249,Rebellion,0,1995-01-01
250,Activision,0,1995-01-01
251,RewolfSoftware,0,1995-01-01
252,IoInteractive,0,1995-01-01
253,KromeStudios,0,1995-01-01
254,PipeDreamInteractive,0,1995-01-01
255,OsirisStudios,0,1995-01-01
256,Eutechnyx,0,1995-01-01
257,EdgeofReality,0,1995-01-01
258,Hammerhead,0,1995-01-01
259,FASAStudio,0,1995-01-01
260,Akella,0,1995-01-01
261,Innerloop,0,1995-01-01
262,CauldronLtd.,0,1995-01-01
263,Minds-EyeProductions,0,1995-01-01
264,ImageSpaceIncorporated,0,1995-01-01
265,ArtechDigitalEntertainment,0,1995-01-01
266,Sir-TechSoftwareInc.,0,1995-01-01
267,ArxelTribe,0,1995-01-01
268,Dynamix,0,1995-01-01
269,BullfrogProductions,0,1995-01-01
270,HeavyIronStudios,0,1995-01-01
271,OmniCreativeGroup,0,1995-01-01
272,UbisoftRomania,0,1995-01-01
273,RogueEntertainment,0,1995-01-01
274,PlanetMoonStudios,0,1995-01-01
275,Kemco,0,1995-01-01
276,ShabaGames,0,1995-01-01
277,UbisoftMontreal,0,1995-01-01
278,WaywardSimulations,0,1995-01-01
279,Taldren,0,1995-01-01
280,TorusGames,0,1995-01-01
281,BokuStrategyGames,0,1995-01-01
282,ClockworkGames,0,1995-01-01
283,AtlusCo.,0,1995-01-01
284,AcclaimStudiosSaltLakeCity,0,1995-01-01
285,1C,0,1995-01-01
286,1CEntertainment,0,1995-01-01
287,InUtero,0,1995-01-01
288,ZedTwoLimited,0,1995-01-01
289,DataBecker,0,1995-01-01
290,ActionFormsLtd.,0,1995-01-01
291,Phantagram,0,1995-01-01
292,FragileBits,0,1995-01-01
293,Fireglow,0,1995-01-01
294,DelphineSoftwareInternational,0,1995-01-01
295,RockstarToronto,0,1995-01-01
296,Escape,0,1995-01-01
297,Ubisoft,0,1995-01-01
298,SyroxDevelopments,0,1995-01-01
299,RowanSoftwareLtd.,0,1995-01-01
300,RainbowStudios,0,1995-01-01
301,IntelligentSystems,0,1995-01-01
302,Invictus,0,1995-01-01
303,Papyrus,0,1995-01-01
304,Marionette,0,1995-01-01
305,XicatInteractive,0,1995-01-01
306,X-RayInteractive,0,1995-01-01
307,IndexMultimedia,0,1995-01-01
308,RebelActStudios,0,1995-01-01
309,KronosDigitalEntertainment,0,1995-01-01
310,DreamworksGames,0,1995-01-01
311,Xilam,0,1995-01-01
312,StormfrontStudios,0,1995-01-01
313,Neverland,0,1995-01-01
314,DreamFactory,0,1995-01-01
315,AmusementVision,0,1995-01-01
316,SecretLevel,0,1995-01-01
317,H2OInteractive,0,1995-01-01
318,Object,0,1995-01-01
319,TimeGateStudios,0,1995-01-01
320,Continuum,0,1995-01-01
321,ReflexiveEntertainment,0,1995-01-01
322,Croteam,0,1995-01-01
323,DigitalExtremes,0,1995-01-01
324,Tecmo,0,1995-01-01
325,KushGames,0,1995-01-01
326,LionheadStudios,0,1995-01-01
327,BlueShift,0,1995-01-01
328,GabrielInteractive,0,1995-01-01
329,Newcom,0,1995-01-01
330,BigApeProductions,0,1995-01-01
331,ProSoft,0,1995-01-01
332,GSCGameWorld,0,1995-01-01
333,CrazyGames,0,1995-01-01
334,NivalInteractive,0,1995-01-01
335,NewWorldComputing,0,1995-01-01
336,LucasLearning,0,1995-01-01
337,WildfireStudios,0,1995-01-01
338,HolisticDesign,0,1995-01-01
339,TakumiCorporation,0,1995-01-01
340,PrestoStudios,0,1995-01-01
341,AcclaimStudiosCheltenham,0,1995-01-01
342,RunningDog,0,1995-01-01
343,BukaEntertainment,0,1995-01-01
344,ZombieStudios,0,1995-01-01
345,JesterInteractive,0,1995-01-01
346,SunstormInteractive,0,1995-01-01
347,Level5,0,1995-01-01
348,Shin'en,0,1995-01-01
349,Artoon,0,1995-01-01
350,VicariousVisions,0,1995-01-01
351,KujuEntertainment,0,1995-01-01
352,Team17,0,1995-01-01
353,CorneredRat,0,1995-01-01
354,HothouseCreations,0,1995-01-01
355,MTO,0,1995-01-01
356,Spike,0,1995-01-01
357,GameTitan,0,1995-01-01
358,DigitalEclipse,0,1995-01-01
359,DCStudios,0,1995-01-01
360,GearboxSoftware,0,1995-01-01
361,NdCube,0,1995-01-01
362,TheBitmapBrothers,0,1995-01-01
363,Darkworks,0,1995-01-01
364,IncognitoInc.,0,1995-01-01
365,NuFX,0,1995-01-01
366,MuckyFootProductions,0,1995-01-01
367,FlyingTigerDevelopment,0,1995-01-01
368,BeyondGames,0,1995-01-01
369,SpiralHouse,0,1995-01-01
370,Eighting/Raizing,0,1995-01-01
371,PukkaGames,0,1995-01-01
372,neoSoftware,0,1995-01-01
373,PacificCoastPower&Light,0,1995-01-01
374,Metro3D,0,1995-01-01
375,Stardock,0,1995-01-01
376,KonamiComputerEntertainmentHawaii,0,1995-01-01
377,Microids,0,1995-01-01
378,Syscom,0,1995-01-01
379,DeepSpace,0,1995-01-01
380,Spellbound,0,1995-01-01
381,RemedyEntertainment,0,1995-01-01
382,SegaAM2,0,1995-01-01
383,Runecraft,0,1995-01-01
384,Take-TwoInteractive,0,1995-01-01
385,ShrapnelGames,0,1995-01-01
386,Anim-X,0,1995-01-01
387,Ecole,0,1995-01-01
388,Bandai,0,1995-01-01
389,SNK,0,1995-01-01
390,FeverPitchStudios,0,1995-01-01
391,Nexon,0,1995-01-01
392,BarnhouseEffect,0,1995-01-01
393,TroikaGames,0,1995-01-01
394,ParticleSystems,0,1995-01-01
395,KonamiComputerEntertainmentNagoya,0,1995-01-01
396,GameVision,0,1995-01-01
397,BohemiaInteractive,0,1995-01-01
398,MythicEntertainment,0,1995-01-01
399,Virtucraft,0,1995-01-01
400,3d6Games,0,1995-01-01
401,SuperXStudios,0,1995-01-01
402,MobiusEntertainment,0,1995-01-01
403,FrogCitySoftware,0,1995-01-01
404,GrayMatter,0,1995-01-01
405,InlandProductions,0,1995-01-01
406,OutLookEntertainment,0,1995-01-01
407,FlyingLabSoftware,0,1995-01-01
408,VisiwareStudios,0,1995-01-01
409,PyroStudios,0,1995-01-01
410,NetDevil,0,1995-01-01
411,StudioLiverpool,0,1995-01-01
412,RivalInteractive,0,1995-01-01
413,ClickEntertainment,0,1995-01-01
414,SCEJapanStudio,0,1995-01-01
415,DeepRed,0,1995-01-01
416,THQ,0,1995-01-01
417,Sun-Tec,0,1995-01-01
418,LuckyChicken,0,1995-01-01
419,ArcSystemWorks,0,1995-01-01
420,GigawattStudios,0,1995-01-01
421,Cave,0,1995-01-01
422,ZenerWorks,0,1995-01-01
423,AscaronEntertainmentGmbH,0,1995-01-01
424,AscaronEntertainment,0,1995-01-01
425,Introversion,0,1995-01-01
426,DigitalFiction,0,1995-01-01
427,SCESantaMonica,0,1995-01-01
428,RFXInteractive,0,1995-01-01
429,TitusSoftware,0,1995-01-01
430,RealityPump,0,1995-01-01
431,BlueFangGames,0,1995-01-01
432,FireFlyStudios,0,1995-01-01
433,GRIN,0,1995-01-01
434,Exakt,0,1995-01-01
435,Charybdis,0,1995-01-01
436,DavidA.PalmerProductions,0,1995-01-01
437,EAGames,0,1995-01-01
438,ArtificialMindandMovement,0,1995-01-01
439,MumboJumbo,0,1995-01-01
440,MASAGroup,0,1995-01-01
441,Nfusion,0,1995-01-01
442,CyberloreStudios,0,1995-01-01
443,HeartBeat,0,1995-01-01
444,SonyBend,0,1995-01-01
445,UltimationInc.,0,1995-01-01
446,New,0,1995-01-01
447,BamEntertainment,0,1995-01-01
448,LiquidEntertainment,0,1995-01-01
449,MagicLantern,0,1995-01-01
450,MadDocSoftware,0,1995-01-01
451,StainlessSteelStudios,0,1995-01-01
452,Mobile21,0,1995-01-01
453,Dearsoft,0,1995-01-01
454,EARedwoodShores,0,1995-01-01
455,EATiburon,0,1995-01-01
456,Magitech,0,1995-01-01
457,KCEStudios,0,1995-01-01
458,DigitalIllusions,0,1995-01-01
459,PseudoInteractive,0,1995-01-01
460,GriptoniteGames,0,1995-01-01
461,KnowWonder,0,1995-01-01
462,3000AD,0,1995-01-01
463,Natsume,0,1995-01-01
